CustomerID,Amount,Frequency,Recency,Cluster_Id
12346.0,0.0,2,325,2
12347.0,4310.0,182,1,1
12348.0,1797.24,31,74,0
12349.0,1757.55,73,18,0
12350.0,334.4,17,309,2
12352.0,1545.41,95,35,0
12353.0,89.0,4,203,2
12354.0,1079.4,58,231,2
12355.0,459.4,13,213,2
12356.0,2811.43,59,22,0
12357.0,6207.67,131,32,1
12358.0,1168.06,19,1,0
12359.0,6245.53,254,7,1
12360.0,2662.06,129,51,0
12361.0,189.9,10,286,2
12362.0,5154.58,274,2,1
12363.0,552.0,23,109,0
12364.0,1313.1,85,7,0
12365.0,320.69,23,290,2
12367.0,168.9,11,3,0
12370.0,3545.69,167,50,1
12371.0,1887.96,63,44,0
12372.0,1298.04,52,71,0
12373.0,364.6,14,310,2
12374.0,742.9300000000001,33,24,0
12375.0,455.42,18,2,0
12377.0,1628.12,77,314,2
12378.0,4008.62,219,129,1
12379.0,850.29,41,81,0
12380.0,2720.56,105,21,0
12381.0,1803.96,91,4,0
12383.0,1839.31,100,184,2
12384.0,566.16,30,28,0
12386.0,401.9,10,337,2
12388.0,2780.66,100,15,0
12390.0,549.84,32,79,0
12391.0,460.89,100,21,0
12393.0,1582.6000000000001,64,71,0
12394.0,1272.48,27,63,0
12395.0,2998.28,159,15,0
12397.0,2409.9,126,35,0
12398.0,1635.6599999999999,85,45,0
12399.0,1108.65,59,118,0
12401.0,84.3,5,302,2
12402.0,225.6,11,322,2
12403.0,409.7,6,49,0
12405.0,1710.39,54,148,0
12406.0,3280.75,108,21,0
12407.0,1708.1200000000001,77,49,0
12408.0,2842.57,113,32,0
12409.0,11056.93,114,78,1
12410.0,681.0799999999999,28,300,2
12412.0,1226.88,61,74,0
12413.0,694.15,40,66,0
12414.0,562.41,18,216,2
12417.0,3578.8,198,2,1
12418.0,668.58,34,112,0
12420.0,600.39,29,63,0
12421.0,806.27,46,15,0
12422.0,803.5600000000001,39,95,0
12423.0,1849.11,126,0,0
12424.0,1760.96,30,162,2
12425.0,777.2,36,77,0
12426.0,582.73,30,194,2
12427.0,708.37,35,11,0
12428.0,7877.2,300,25,1
12429.0,3750.4,97,8,0
12430.0,256.4,11,42,0
12431.0,6416.39,240,35,1
12432.0,5059.32,108,42,1
12433.0,13375.87,420,0,1
12434.0,765.19,54,84,0
12435.0,7829.89,36,79,1
12436.0,509.01,16,99,0
12437.0,4896.66,201,1,1
12438.0,2906.85,98,13,0
12441.0,173.55,11,366,2
12442.0,172.06,12,2,0
12444.0,5005.46,177,20,1
12445.0,133.4,4,21,0
12446.0,1002.3100000000001,58,57,0
12447.0,476.49,26,242,2
12448.0,449.45,22,43,0
12449.0,4067.29,191,21,1
12450.0,197.88,8,155,2
12451.0,8933.52,355,10,1
12452.0,428.57,23,16,0
12453.0,707.09,43,133,0
12454.0,5.684341886080802e-14,30,52,0
12455.0,2466.86,90,72,0
12456.0,3153.89,129,43,0
12457.0,1917.78,68,57,0
12458.0,947.4,38,70,0
12461.0,826.88,35,93,0
12462.0,1124.01,72,1,0
12463.0,1303.63,88,45,0
12464.0,1212.05,29,9,0
12465.0,733.89,51,7,0
12468.0,724.0400000000001,40,142,0
12472.0,6229.48,391,30,1
12473.0,2848.23,179,28,1
12474.0,7116.47,457,16,1
12475.0,723.38,36,53,0
12476.0,6546.58,264,0,1
12477.0,13117.01,308,22,1
12478.0,680.99,36,3,0
12479.0,477.3,35,3,0
12480.0,3281.63,154,27,1
12481.0,5590.86,218,22,1
12483.0,2327.13,81,16,0
12484.0,4495.27,350,32,1
12488.0,1298.66,55,9,0
12489.0,334.93,15,335,2
12490.0,5417.93,245,4,1
12491.0,460.40000000000003,26,38,0
12492.0,263.21000000000004,20,62,0
12493.0,416.79,23,165,2
12494.0,1139.3500000000001,84,9,0
12497.0,1043.1,14,81,0
12498.0,403.70000000000005,23,20,0
12500.0,4206.27,65,22,0
12501.0,2089.68,160,314,2
12502.0,3723.87,147,95,1
12503.0,-1126.0,1,337,2
12504.0,114.0,15,17,0
12505.0,-4.5,1,300,2
12506.0,73.5,23,232,2
12507.0,1258.06,23,133,0
12508.0,398.27,69,25,0
12509.0,176.5,7,283,2
12510.0,982.5699999999999,33,142,0
12512.0,138.03,34,65,0
12513.0,586.79,36,84,0
12514.0,1017.68,51,266,2
12515.0,383.7,16,352,2
12516.0,1312.06,26,77,0
12517.0,2464.89,286,27,1
12518.0,2056.89,124,0,0
12519.0,340.84,18,63,0
12520.0,2582.51,155,78,0
12521.0,599.68,38,142,0
12522.0,192.72,12,38,0
12523.0,1745.57,110,1,0
12524.0,4485.72,144,8,1
12526.0,1316.66,71,0,0
12527.0,348.71000000000004,18,81,0
12528.0,1922.28,95,8,0
12530.0,1623.63,68,59,0
12531.0,125.22,17,14,0
12532.0,349.83000000000004,16,29,0
12534.0,1089.18,63,130,0
12535.0,716.35,34,91,0
12536.0,4106.82,273,7,1
12538.0,363.95,21,28,0
12539.0,3852.5,274,21,1
12540.0,13309.039999999999,481,19,1
12541.0,981.18,52,29,0
12544.0,355.7,20,29,0
12545.0,1000.39,50,74,0
12546.0,1141.5,70,46,0
12547.0,207.79999999999998,8,197,2
12548.0,95.19999999999999,5,165,2
12550.0,964.83,57,78,0
12551.0,168.0,10,357,2
12552.0,437.82,20,38,0
12553.0,3652.25,196,7,1
12556.0,603.71,121,49,0
12557.0,11990.960000000001,33,15,1
12558.0,1.0658141036401503e-14,22,1,0
12559.0,536.21,22,310,2
12560.0,2101.39,111,4,0
12561.0,238.85,16,302,2
12562.0,3781.7400000000002,168,7,1
12564.0,456.9,21,260,2
12565.0,131.17,10,281,2
12566.0,346.7,20,72,0
12567.0,9114.94,463,22,1
12569.0,4064.9900000000002,191,1,1
12571.0,519.61,34,39,0
12572.0,1004.72,62,8,0
12573.0,160.54000000000002,28,226,2
12574.0,218.45,11,315,2
12576.0,1306.98,89,35,0
12577.0,595.4,148,34,0
12578.0,2753.36,120,20,0
12579.0,410.72,31,72,0
12580.0,415.7,24,246,2
12581.0,197.71,15,39,0
12582.0,511.36,22,238,2
12583.0,7187.34,251,2,1
12584.0,1893.95,126,3,0
12585.0,1982.81,97,233,2
12586.0,179.94000000000003,12,16,0
12587.0,144.0,4,7,0
12588.0,214.89999999999998,10,38,0
12589.0,646.68,35,28,0
12590.0,9861.38,70,189,1
12591.0,452.84999999999997,26,316,2
12592.0,437.6,18,91,0
12593.0,418.09999999999997,21,108,0
12594.0,3320.2200000000003,119,37,0
12596.0,618.27,27,50,0
12597.0,3683.13,214,18,1
12598.0,3002.68,133,9,0
12599.0,1032.58,62,28,0
12600.0,2581.04,65,28,0
12601.0,569.5600000000001,29,189,2
12602.0,153.12,12,58,0
12603.0,739.1999999999999,3,21,0
12604.0,254.18,16,78,0
12605.0,-7.5,3,364,2
12607.0,3.552713678800501e-15,202,57,0
12609.0,1126.85,60,77,0
12610.0,2057.99,111,22,0
12611.0,1193.32,65,51,0
12612.0,643.59,21,57,0
12613.0,3218.98,163,30,1
12614.0,315.6,20,277,2
12615.0,2291.19,105,1,0
12616.0,657.25,36,84,0
12617.0,355.53,42,28,0
12618.0,177.31,11,21,0
12619.0,3214.81,95,15,0
12620.0,1339.41,92,14,0
12621.0,13612.07,474,1,1
12622.0,180.1,11,231,2
12623.0,305.1,18,275,2
12624.0,641.13,38,105,0
12625.0,2614.32,91,211,2
12626.0,6388.35,307,22,1
12627.0,4478.53,230,10,1
12628.0,769.61,43,3,0
12630.0,1270.88,64,9,0
12631.0,640.5,31,56,0
12633.0,2140.63,103,58,0
12635.0,1689.18,101,89,0
12637.0,5953.25,394,66,1
12638.0,671.69,39,32,0
12639.0,486.1,22,238,2
12640.0,1174.58,53,23,0
12641.0,185.9,10,114,0
12642.0,1013.26,47,24,0
12643.0,3344.64,24,127,0
12644.0,477.91,31,129,0
12645.0,1755.38,74,33,0
12646.0,1346.97,45,4,0
12647.0,3669.92,128,21,0
12648.0,318.05,21,154,2
12649.0,603.71,33,106,0
12650.0,314.44,20,2,0
12651.0,114.0,9,334,2
12652.0,914.53,51,321,2
12653.0,2209.85,43,148,0
12654.0,601.98,38,10,0
12656.0,3982.72,130,16,1
12657.0,1152.06,56,10,0
12658.0,686.05,36,18,0
12659.0,91.68,5,29,0
12660.0,245.1,13,10,0
12662.0,3817.08,232,0,1
12664.0,4863.88,38,7,0
12665.0,61.75,4,324,2
12666.0,-227.44,2,358,2
12667.0,620.13,33,57,0
12668.0,3743.18,168,6,1
12669.0,1607.73,102,150,0
12670.0,2986.15,94,9,0
12672.0,225.89999999999998,10,329,2
12673.0,610.52,42,4,0
12674.0,1919.31,91,11,0
12676.0,1331.39,45,24,0
12679.0,1058.67,56,51,0
12680.0,862.81,52,0,0
12681.0,13677.59,646,14,1
12682.0,12288.22,525,3,1
12683.0,8221.09,362,3,1
12684.0,2283.63,105,7,0
12685.0,2863.08,157,27,0
12686.0,89.14,7,371,2
12688.0,4873.8099999999995,171,113,1
12689.0,1247.61,72,25,0
12690.0,389.01,16,205,2
12691.0,1035.8,32,27,0
12693.0,830.96,41,120,0
12694.0,869.67,37,69,0
12695.0,582.1,27,6,0
12697.0,939.02,43,20,0
12700.0,4867.99,270,7,1
12701.0,797.71,53,79,0
12702.0,219.0,12,19,0
12703.0,274.7,22,63,0
12704.0,2220.84,90,6,0
12705.0,6814.24,348,14,1
12707.0,603.42,33,291,2
12708.0,2616.32,174,29,0
12709.0,9294.1,257,2,1
12710.0,1130.57,79,96,0
12712.0,4241.63,142,22,1
12713.0,848.55,38,0,0
12714.0,4708.86,259,8,1
12715.0,353.86,21,105,0
12716.0,1053.49,69,3,0
12717.0,980.98,56,150,0
12718.0,238.25,19,70,0
12719.0,608.1,42,4,0
12720.0,5713.28,359,2,1
12721.0,2628.98,164,31,0
12722.0,904.33,57,84,0
12723.0,725.07,69,3,0
12724.0,1031.41,53,4,0
12725.0,427.8,24,370,2
12726.0,2609.1,124,27,0
12727.0,3947.7,141,10,1
12728.0,836.33,46,70,0
12729.0,453.01,26,113,0
12732.0,236.26000000000002,12,179,2
12733.0,383.95,22,233,2
12734.0,110.39999999999999,4,352,2
12735.0,779.5699999999999,43,314,2
12736.0,234.0,4,332,2
12738.0,155.35,11,371,2
12739.0,1013.04,38,77,0
12740.0,427.6,27,63,0
12743.0,546.43,134,133,0
12744.0,9120.39,229,51,1
12747.0,4196.01,103,1,1
12749.0,3868.2,231,3,1
12750.0,275.88,15,128,0
12752.0,4366.78,53,80,0
12754.0,2949.12,65,235,2
12755.0,2203.2,6,249,2
12756.0,112.07999999999998,4,86,0
12757.0,4227.7,377,15,1
12758.0,2791.59,97,116,0
12759.0,1531.44,95,51,0
12762.0,1898.52,69,7,0
12763.0,494.08,18,137,0
12764.0,1693.88,45,316,2
12766.0,6989.63,310,3,1
12769.0,1143.6,32,238,2
12770.0,1351.45,12,210,2
12772.0,892.47,55,59,0
12775.0,1351.24,67,16,0
12778.0,804.23,51,19,0
12779.0,3868.7,159,20,1
12781.0,707.72,30,20,0
12782.0,2273.32,107,4,0
12783.0,1603.87,86,1,0
12784.0,574.42,59,8,0
12785.0,305.71,15,2,0
12787.0,463.66,20,9,0
12789.0,91.85,4,64,0
12790.0,324.92,21,191,2
12791.0,192.60000000000002,2,373,2
12792.0,400.53999999999996,25,256,2
12793.0,545.48,24,334,2
12794.0,860.41,45,52,0
12795.0,430.48,14,18,0
12797.0,194.18,17,359,2
12798.0,6977.04,8,9,1
12802.0,412.58,26,183,2
12808.0,483.65000000000003,28,36,0
12809.0,484.36,26,167,2
12811.0,514.85,31,260,2
12812.0,229.64000000000001,15,44,0
12814.0,125.92,2,101,0
12815.0,1063.46,47,147,0
12816.0,572.2,29,95,0
12817.0,166.04,4,280,2
12818.0,1517.88,16,177,2
12820.0,942.34,59,2,0
